Filename,heightWithWidth,squarePercent,Hsyn,Wsyn,syn,matchVar,blurNumber,isClear
338_#Test_$_&INN_@30_PHONE_TYPE_1325376307793_2592x1944.bmp,3.5,0.610017889,0.64047619,0.541666667,1.182142857,220.5169492,,-1
989_#test_20170512_145751593.jpg,5.25,0.643410853,0.630952381,0.3625,0.993452381,211.8230088,,-1
#Test_L_&INN_@30_PHONE_TYPE_1325376308159_2592x1944.bmp,3.909090909,0.486742424,0.527131783,0.727272727,1.25440451,211,,-1
342_#Test_$_&INN_@30_PHONE_TYPE_1325376308159_2592x1944.bmp,3.909090909,0.486742424,0.527131783,0.727272727,1.25440451,211,,-1
#zhaiboyang_L_&INN_@40_PHONE_TYPE_1325400606390_2592x1944.bmp,1.291666667,0.6825,0.129032258,0.104166667,0.233198925,205.4656489,,1
#Test_L_&INN_@30_PHONE_TYPE_1325376310813_2592x1944.bmp,4.1,0.649350649,0.670731707,0.55,1.220731707,205.2636364,,-1
361_#Test_$_&INN_@30_PHONE_TYPE_1325376310813_2592x1944.bmp,4.1,0.649350649,0.670731707,0.55,1.220731707,205.2636364,,-1
#zhaiboyang_L_&INN_@40_PHONE_TYPE_1325400607130_2592x1944.bmp,1.523809524,0.750688705,0.03125,0.071428571,0.102678571,204.8547009,,1
#Test_R_&INN_@30_PHONE_TYPE_1325376308159_2592x1944.bmp,10.75,0.859090909,0.023255814,0.125,0.148255814,204.5784314,,-1
343_#Test_$_&INN_@30_PHONE_TYPE_1325376308159_2592x1944.bmp,10.75,0.859090909,0.023255814,0.125,0.148255814,204.5784314,,-1
#zhaiboyang_L_&INN_@40_PHONE_TYPE_1325400607340_2592x1944.bmp,1.571428571,0.721925134,0.015151515,0.047619048,0.062770563,202.8166667,,1
#zhaiboyang_L_&INN_@40_PHONE_TYPE_1325400608651_2592x1944.bmp,1.65,0.75210084,0.193473193,0.225,0.418473193,200.9593496,,1
#zhaiboyang_L_&INN_@40_PHONE_TYPE_1325400608508_2592x1944.bmp,1.571428571,0.715240642,0.161616162,0.047619048,0.209235209,200.9256198,,1
#zhaiboyang_L_&INN_@40_PHONE_TYPE_1325400606943_2592x1944.bmp,1.347826087,0.708333333,0,0.108695652,0.108695652,200.3252033,,1
1085_#test_20170512_145826602.jpg,5,0.802168022,0.1125,0.375,0.4875,199.6538462,,-1
#zhaiboyang_L_&INN_@40_PHONE_TYPE_1325400606547_2592x1944.bmp,1.454545455,0.708827404,0.03125,0.045454545,0.076704545,199.5454545,,1
#zhaiboyang_L_&INN_@40_PHONE_TYPE_1325400609450_2592x1944.bmp,1.888888889,0.754887218,0.070135747,0.027777778,0.097913524,199.4435484,,1
896_#test_20170512_145745802.jpg,5,0.783197832,0.0125,0.0625,0.075,199.1607143,,-1
#Test_R_&INN_@30_PHONE_TYPE_1325376307793_2592x1944.bmp,6.833333333,0.778911565,0.524390244,0.5,1.024390244,196.7941176,,-1
339_#Test_$_&INN_@30_PHONE_TYPE_1325376307793_2592x1944.bmp,6.833333333,0.778911565,0.524390244,0.5,1.024390244,196.7941176,,-1
#zhaiboyang_L_&INN_@40_PHONE_TYPE_1325400609133_2592x1944.bmp,1.6,0.747474747,0.14375,0.1,0.24375,196.7394958,,1
#zhaiboyang_L_&INN_@40_PHONE_TYPE_1325400607852_2592x1944.bmp,1.6,0.741702742,0.227272727,0.05,0.277272727,196.3565217,0,1
#zhaiboyang_L_&INN_@40_PHONE_TYPE_1325400607981_2592x1944.bmp,1.65,0.710084034,0.045454545,0.05,0.095454545,195.942623,125,1
#zhaiboyang_L_&INN_@40_PHONE_TYPE_1325400609578_2592x1944.bmp,1.6,0.73015873,0.1875,0.075,0.2625,195.3739837,155,1
#zhaiboyang_L_&INN_@40_PHONE_TYPE_1325400610243_2592x1944.bmp,1.571428571,0.680481283,0.181818182,0.19047619,0.372294372,193.7421875,-90,1
#zhaiboyang_L_&INN_@40_PHONE_TYPE_1325400608116_2592x1944.bmp,1.523809524,0.707988981,0.03125,0.071428571,0.102678571,192.9411765,76,1
#Test_R_&INN_@30_PHONE_TYPE_1325376310813_2592x1944.bmp,8,0.922764228,0.1375,0.2,0.3375,192.2959184,87,-1
362_#Test_$_&INN_@30_PHONE_TYPE_1325376310813_2592x1944.bmp,8,0.922764228,0.1375,0.2,0.3375,192.2959184,87,-1
#zhaiboyang_L_&INN_@40_PHONE_TYPE_1325400609972_2592x1944.bmp,1.6,0.714285714,0.236979167,0.125,0.361979167,191.208,80,1
#zhaiboyang_L_&INN_@40_PHONE_TYPE_1325400610109_2592x1944.bmp,1.631578947,0.771875,0.197132616,0,0.197132616,189.622807,159,1
#lulongfei_L_&INN_@40_PHONE_TYPE_1325391009293_2592x1944.bmp,1.55,0.751488095,0.35483871,0.125,0.47983871,189.4642857,138,1
#lulongfei_L_&INN_@40_PHONE_TYPE_1325391015524_2592x1944.bmp,1.55,0.741071429,0.016129032,0.025,0.041129032,188,76,1
#lulongfei_L_&INN_@40_PHONE_TYPE_1325391013677_2592x1944.bmp,1.55,0.739583333,0.016129032,0.05,0.066129032,187.8035714,151,1
#Test_L_&INN_@30_PHONE_TYPE_1325376269119_2592x1944.bmp,8,0.869918699,0.0125,0,0.0125,187.5204082,80,-1
181_#Test_$_&INN_@30_PHONE_TYPE_1325376269119_2592x1944.bmp,8,0.869918699,0.0125,0,0.0125,187.5204082,80,-1
1081_#test_20170512_145826393.jpg,5.714285714,0.661585366,0.525,0.571428571,1.096428571,187.2843137,71,-1
869_#test_20170512_145744218.jpg,4.111111111,0.742105263,0.189189189,0.092592593,0.281781782,187.1891892,36,-1
951_#test_20170512_145749130.jpg,4.75,0.837606838,0.039473684,0.0625,0.101973684,187,25,-1
#zhaiboyang_L_&INN_@40_PHONE_TYPE_1325400609854_2592x1944.bmp,1.55,0.738095238,0.165322581,0.1,0.265322581,186.6578947,154,1
#lulongfei_L_&INN_@40_PHONE_TYPE_1325391009033_2592x1944.bmp,1.578947368,0.798387097,,0.078947368,0.288038278,186.6481481,160,1
#lulongfei_L_&INN_@40_PHONE_TYPE_1325391008222_2592x1944.bmp,1.5,0.771121352,,0.075,0.475,186.5909091,112,1
#lulongfei_L_&INN_@40_PHONE_TYPE_1325391014346_2592x1944.bmp,1.5,0.75422427,,0.025,0.025,185.5740741,0,1
#lulongfei_L_&INN_@40_PHONE_TYPE_1325391013880_2592x1944.bmp,1.5,0.758832565,,0,0,185.2454545,161,1
788_#test_20170512_145739354.jpg,4.75,0.800569801,,0.1875,0.345394737,185.1078431,42,-1
#lulongfei_L_&INN_@42_PHONE_TYPE_1325391059431_2592x1944.bmp,1.882352941,0.784511785,,0.117647059,0.258272059,184.9158879,12,-1
#lulongfei_L_&INN_@40_PHONE_TYPE_1325391008345_2592x1944.bmp,1.5,0.769585253,,0.075,0.325,184.5175439,151,1
#lulongfei_L_&INN_@40_PHONE_TYPE_1325391014865_2592x1944.bmp,1.5,0.752688172,,0,0,184.1181818,108,1
#lulongfei_L_&INN_@40_PHONE_TYPE_1325391009482_2592x1944.bmp,1.578947368,0.791935484,,0.052631579,0.235964912,183.8454545,152,1
#lulongfei_L_&INN_@40_PHONE_TYPE_1325391010215_2592x1944.bmp,1.578947368,0.791935484,0.169444444,0.026315789,0.195760234,183.6636364,170,1
#lulongfei_L_&INN_@40_PHONE_TYPE_1325391009944_2592x1944.bmp,1.578947368,0.785483871,0.171428571,0.026315789,0.197744361,183.4090909,148,1
#lulongfei_L_&INN_@40_PHONE_TYPE_1325391014145_2592x1944.bmp,1.5,0.749615975,0.016666667,0.025,0.041666667,183.4090909,101,1
#lulongfei_L_&INN_@40_PHONE_TYPE_1325391008822_2592x1944.bmp,1.5,0.751152074,0.102380952,0.075,0.177380952,183.2882883,154,1
#lulongfei_L_&INN_@40_PHONE_TYPE_1325391016735_2592x1944.bmp,1.631578947,0.7546875,0,0.026315789,0.026315789,183.1428571,238,1
#lulongfei_L_&INN_@40_PHONE_TYPE_1325391012675_2592x1944.bmp,1.5,0.748079877,0.016666667,0.05,0.066666667,183.0818182,112,1
#lulongfei_L_&INN_@40_PHONE_TYPE_1325391008642_2592x1944.bmp,1.5,0.757296467,0.016666667,0.05,0.066666667,182.9821429,126,1
#lulongfei_L_&INN_@40_PHONE_TYPE_1325391014603_2592x1944.bmp,1.631578947,0.75,0.016129032,0.052631579,0.068760611,182.7321429,125,1
747_#test_20170512_145736761.jpg,7,0.558139535,0.083333333,0.166666667,0.25,182.7264151,44,-1
#lulongfei_L_&INN_@40_PHONE_TYPE_1325391009754_2592x1944.bmp,1.578947368,0.783870968,0.157142857,0.052631579,0.209774436,182.1909091,178,1
#lulongfei_L_&INN_@40_PHONE_TYPE_1325391017015_2592x1944.bmp,1.55,0.712797619,0.016129032,0.075,0.091129032,182.1428571,238,1
#lulongfei_L_&INN_@40_PHONE_TYPE_1325391011079_2592x1944.bmp,1.578947368,0.782258065,0.016666667,0.052631579,0.069298246,181.8073394,128,1
910_#test_20170512_145746602.jpg,4.75,0.689458689,0,0.0625,0.0625,181.0173913,65,-1
#lulongfei_L_&INN_@40_PHONE_TYPE_1325391011208_2592x1944.bmp,1.578947368,0.770967742,0.063333333,0.026315789,0.089649123,180.9909091,134,1
#lulongfei_L_&INN_@40_PHONE_TYPE_1325391013536_2592x1944.bmp,1.5,0.741935484,0.016666667,0.025,0.041666667,180.625,153,1
#lulongfei_L_&INN_@40_PHONE_TYPE_1325391011411_2592x1944.bmp,1.578947368,0.779032258,0.016666667,0.026315789,0.042982456,180.5181818,130,1
742_#test_20170512_145736426.jpg,21,0.651162791,0.38003663,0.75,1.13003663,180.3571429,99,-1
#zhaiboyang_L_&INN_@40_PHONE_TYPE_1325400614298_2592x1944.bmp,1.684210526,0.704545455,0.15625,0.105263158,0.261513158,180.3214286,74,1
#lulongfei_L_&INN_@40_PHONE_TYPE_1325391017530_2592x1944.bmp,1.578947368,0.758064516,0.016666667,0.026315789,0.042982456,179.7222222,148,1
#zhaiboyang_L_&INN_@40_PHONE_TYPE_1325400614651_2592x1944.bmp,1.722222222,0.768092105,0.039468691,0.055555556,0.095024246,179.5775862,20,1
#lulongfei_L_&INN_@40_PHONE_TYPE_1325391002628_2592x1944.bmp,1.5,0.723502304,0,0.025,0.025,179.2037037,22,1
#lulongfei_L_&INN_@40_PHONE_TYPE_1325391007361_2592x1944.bmp,1.526315789,0.803333333,0.189655172,0.078947368,0.268602541,179.146789,124,1
#lulongfei_L_&INN_@40_PHONE_TYPE_1325391016068_2592x1944.bmp,1.5,0.731182796,0,0.025,0.025,178.0714286,-5,1
967_#test_20170512_145750137.jpg,5.428571429,0.782051282,0.236842105,0.642857143,0.879699248,177.4444444,49,-1
#zhaiboyang_L_&INN_@40_PHONE_TYPE_1325400613900_2592x1944.bmp,1.578947368,0.746774194,0.052380952,0.078947368,0.131328321,176.6403509,116,1
#Test_L_&INN_@30_PHONE_TYPE_1325376269721_2592x1944.bmp,6.5,0.739285714,0.384615385,0.166666667,0.551282051,176.3571429,77,-1
187_#Test_$_&INN_@30_PHONE_TYPE_1325376269721_2592x1944.bmp,6.5,0.739285714,0.384615385,0.166666667,0.551282051,176.3571429,77,-1
992_#test_20170512_145751738.jpg,3.8,0.557109557,0.421052632,0.2,0.621052632,175.4604317,85,-1
#Test_L_&INN_@30_PHONE_TYPE_1325376263590_2592x1944.bmp,10,0.770731707,0.3375,0.25,0.5875,175.3958333,17,-1
145_#Test_$_&INN_@30_PHONE_TYPE_1325376263590_2592x1944.bmp,10,0.770731707,0.3375,0.25,0.5875,175.3958333,17,-1
#zhaiboyang_L_&INN_@40_PHONE_TYPE_1325400616102_2592x1944.bmp,1.578947368,0.74516129,0.244444444,0.078947368,0.323391813,175.1339286,212,1
777_#test_20170512_145738762.jpg,5.428571429,0.75,0.328947368,0.571428571,0.90037594,174.04,44,-1
#zhaiboyang_L_&INN_@40_PHONE_TYPE_1325400614872_2592x1944.bmp,1.55,0.674107143,0,0.075,0.075,173.0084746,111,1
#zhaiboyang_L_&INN_@42_PHONE_TYPE_1325400635998_2592x1944.bmp,1.578947368,0.722580645,0.157142857,0.026315789,0.183458647,172.8362069,148,1
#Test_L_&INN_@30_PHONE_TYPE_1325376267584_2592x1944.bmp,7.6,0.88034188,0.013157895,0.1,0.113157895,172.5851064,74,-1
171_#Test_$_&INN_@30_PHONE_TYPE_1325376267584_2592x1944.bmp,7.6,0.88034188,0.013157895,0.1,0.113157895,172.5851064,74,-1
#lulongfei_L_&INN_@42_PHONE_TYPE_1325391067025_2592x1944.bmp,1.473684211,0.801724138,0.222402597,0.078947368,0.301349966,172.5566038,0,1
773_#test_20170512_145738363.jpg,5.285714286,0.789473684,0.189189189,0.214285714,0.403474903,171.9587629,56,-1
981_#test_20170512_145750938.jpg,5.428571429,0.705128205,0.144736842,0.142857143,0.287593985,171.8061224,49,-1
#lulongfei_L_&INN_@42_PHONE_TYPE_1325391065410_2592x1944.bmp,1.611111111,0.789473684,0.132183908,0.055555556,0.187739464,169.8962264,57,1
#zhaiboyang_L_&INN_@42_PHONE_TYPE_1325400639769_2592x1944.bmp,1.666666667,0.736842105,0.2,0.111111111,0.311111111,169.8828829,183,1
#zhaiboyang_L_&INN_@42_PHONE_TYPE_1325400636255_2592x1944.bmp,1.666666667,0.762308998,0.024242424,0.166666667,0.190909091,169.8090909,74,1
999_#test_20170512_145752265.jpg,3.888888889,0.825,0.042857143,0.166666667,0.20952381,169.5625,31,-1
979_#test_20170512_145750873.jpg,10,0.682926829,0.175,0.125,0.3,169.5257732,40,-1
1080_#test_20170512_145826329.jpg,4.625,0.657894737,0.72972973,0.3125,1.04222973,168.6836735,108,-1
#lulongfei_L_&INN_@40_PHONE_TYPE_1325391007622_2592x1944.bmp,1.473684211,0.774137931,0,0.052631579,0.052631579,167.9142857,117,1
#lulongfei_L_&INN_@40_PHONE_TYPE_1325391012404_2592x1944.bmp,1.611111111,,0.017241379,0.083333333,0.100574713,167.6509434,111,1
1054_#test_20170512_145824810.jpg,4.375,,0.157142857,0.1875,0.344642857,166.8191489,41,-1
1052_#test_20170512_145824729.jpg,4.5,,0.069444444,0,0.069444444,165.9375,41,-1
#Test_L_&INN_@30_PHONE_TYPE_1325376261009_2592x1944.bmp,9.5,,0.013157895,0,0.013157895,165.7826087,67,-1
133_#Test_$_&INN_@30_PHONE_TYPE_1325376261009_2592x1944.bmp,9.5,,0.013157895,0,0.013157895,165.7826087,67,-1
779_#test_20170512_145738826.jpg,5.428571429,,0.157894737,0.071428571,0.229323308,165.3571429,60,-1
#zhaiboyang_L_&INN_@40_PHONE_TYPE_1325400613131_2592x1944.bmp,1.611111111,,0.134796238,0.166666667,0.301462905,165.2523364,85,1
#lulongfei_L_&INN_@42_PHONE_TYPE_1325391066284_2592x1944.bmp,1.555555556,,0.175,0.083333333,0.258333333,164.9902913,18,1
#zhaiboyang_L_&INN_@42_PHONE_TYPE_1325400636451_2592x1944.bmp,1.611111111,,0.001436782,0.111111111,0.112547893,164.3982301,127,1
986_#test_20170512_145751257.jpg,6.666666667,,0.075,0.166666667,0.241666667,164,90,-1
#lulongfei_L_&INN_@42_PHONE_TYPE_1325391066140_2592x1944.bmp,1.526315789,,0.034482759,0.052631579,0.087114338,163.9259259,-5,1
1046_#test_20170512_145824473.jpg,4,0.721621622,0,0.111111111,0.111111111,163.4387755,36,-1
#lulongfei_L_&INN_@42_PHONE_TYPE_1325391065690_2592x1944.bmp,1.473684211,0.746551724,0.017857143,0.026315789,0.044172932,163.2692308,66,1
#lulongfei_L_&INN_@42_PHONE_TYPE_1325391067213_2592x1944.bmp,1.473684211,0.753448276,0.017857143,0.026315789,0.044172932,163.1603774,109,1
#lulongfei_L_&INN_@42_PHONE_TYPE_1325391066485_2592x1944.bmp,1.473684211,0.751724138,0.017857143,0.078947368,0.096804511,162.8773585,-3,1
1082_#test_20170512_145826393.jpg,5.285714286,0.694078947,0.432432432,0.428571429,0.861003861,162.7244898,118,-1
982_#test_20170512_145750938.jpg,5.833333333,0.880952381,0.085714286,0.5,0.585714286,160.72,80,-1
#lulongfei_L_&INN_@42_PHONE_TYPE_1325391067407_2592x1944.bmp,1.555555556,0.771324864,0.017857143,0.027777778,0.045634921,160,116,1
1017_#test_20170512_145753193.jpg,3.777777778,0.805714286,0.237556561,0.277777778,0.515334339,159.8333333,38,-1
885_#test_20170512_145745081.jpg,5.285714286,0.618421053,0.013513514,0,0.013513514,159.83,74,-1
#lulongfei_L_&INN_@40_PHONE_TYPE_1325391007152_2592x1944.bmp,1.421052632,0.764285714,0,0.026315789,0.026315789,159.5096154,94,1
#lulongfei_L_&INN_@42_PHONE_TYPE_1325391066761_2592x1944.bmp,1.555555556,0.7676951,0.017857143,0.055555556,0.073412698,159.4807692,-3,1
1010_#test_20170512_145752858.jpg,4.333333333,0.365,0.692307692,0.833333333,1.525641026,158.7567568,44,-1
922_#test_20170512_145747274.jpg,4.857142857,0.914285714,0.073529412,0.5,0.573529412,158.7444444,35,-1
#Test_L_&INN_@30_PHONE_TYPE_1325376265400_2592x1944.bmp,6,0.799227799,0.416666667,0.333333333,0.75,158.7391304,97,-1
155_#Test_$_&INN_@30_PHONE_TYPE_1325376265400_2592x1944.bmp,6,0.799227799,0.416666667,0.333333333,0.75,158.7391304,97,-1
#lulongfei_L_&INN_@42_PHONE_TYPE_1325391063362_2592x1944.bmp,1.647058824,0.795019157,0.228174603,0.088235294,0.316409897,158.6960784,79,1
1026_#test_20170512_145753994.jpg,4.25,0.819047619,0.5,0.75,1.25,158.5698925,48,-1
#lulongfei_L_&INN_@42_PHONE_TYPE_1325391064486_2592x1944.bmp,1.647058824,0.795019157,0.239010989,0.058823529,0.297834518,158.5588235,62,1
#lulongfei_L_&INN_@42_PHONE_TYPE_1325391063091_2592x1944.bmp,1.555555556,0.75862069,0.246428571,0.083333333,0.329761905,158.5384615,76,1
#lulongfei_L_&INN_@42_PHONE_TYPE_1325391064150_2592x1944.bmp,1.555555556,0.756805808,0.270408163,0.111111111,0.381519274,158.1538462,81,1
1075_#test_20170512_145826085.jpg,5.142857143,0.746621622,25,0.071428571,0.224206349,158.1052632,61,-1
#lulongfei_L_&INN_@42_PHONE_TYPE_1325391062430_2592x1944.bmp,1.647058824,0.791187739,26.123124,0.088235294,0.284663866,158.0098039,74,1
#lulongfei_L_&INN_@42_PHONE_TYPE_1325391062261_2592x1944.bmp,1.647058824,0.793103448,27.246248,0.058823529,0.296460892,157.8921569,58,1
#lulongfei_L_&INN_@42_PHONE_TYPE_1325391064277_2592x1944.bmp,1.555555556,0.756805808,28.369372,0.055555556,0.251984127,157.5961538,63,1
867_#test_20170512_145744137.jpg,4.25,0.819047619,29.492496,0.3125,0.694852941,157.1304348,51,-1
#Test_L_&INN_@30_PHONE_TYPE_1325376262597_2592x1944.bmp,7.4,0.75877193,30.61562,0.3,0.610810811,157.1086957,69,-1
141_#Test_$_&INN_@30_PHONE_TYPE_1325376262597_2592x1944.bmp,7.4,0.75877193,31.738744,0.3,0.610810811,157.1086957,69,-1
902_#test_20170512_145746137.jpg,6.333333333,0.549450549,32.861868,0.666666667,1.095831684,157.0940171,55,-1
#lulongfei_L_&INN_@42_PHONE_TYPE_1325391061845_2592x1944.bmp,1.555555556,0.745916515,33.984992,0.055555556,0.448412698,157.0686275,64,1
1077_#test_20170512_145826109.jpg,5.833333333,0.865079365,0.242857143,0.083333333,0.326190476,156.9888889,100,-1
771_#test_20170512_145738282.jpg,5.428571429,0.596153846,0.25,0.571428571,0.821428571,156.9494949,55,-1
#Test_L_&INN_@30_PHONE_TYPE_1325376268319_2592x1944.bmp,6,0.776061776,0.291666667,0.166666667,0.458333333,156.8695652,83,-1
175_#Test_$_&INN_@30_PHONE_TYPE_1325376268319_2592x1944.bmp,6,0.776061776,0.291666667,0.166666667,0.458333333,156.8695652,83,-1
#lulongfei_L_&INN_@42_PHONE_TYPE_1325391056193_2592x1944.bmp,1.647058824,0.787356322,0.166666667,0.029411765,0.196078431,156.7941176,80,1
#lulongfei_L_&INN_@42_PHONE_TYPE_1325391065091_2592x1944.bmp,1.5,0.785714286,0.274074074,0.083333333,0.357407407,156.7941176,76,1
#lulongfei_L_&INN_@42_PHONE_TYPE_1325391057190_2592x1944.bmp,1.588235294,0.825396825,0.185185185,0,0.185185185,156.74,66,1
#lulongfei_L_&INN_@42_PHONE_TYPE_1325391061957_2592x1944.bmp,1.588235294,0.81547619,0.222222222,0.088235294,0.310457516,155.9,68,1
#Test_L_&INN_@30_PHONE_TYPE_1325376266997_2592x1944.bmp,5.142857143,0.685810811,0.472222222,0.428571429,0.900793651,155.5425532,75,-1
169_#Test_$_&INN_@30_PHONE_TYPE_1325376266997_2592x1944.bmp,5.142857143,0.685810811,0.472222222,0.428571429,0.900793651,155.5425532,75,-1
#lulongfei_L_&INN_@42_PHONE_TYPE_1325391070536_2592x1944.bmp,1.647058824,0.77394636,0.163690476,0.058823529,0.222514006,155.2254902,98,1
#Test_L_&INN_@30_PHONE_TYPE_1325376307105_2592x1944.bmp,4.125,0.888888889,0.166666667,0.1875,0.354166667,155.1444444,35,-1
336_#Test_$_&INN_@30_PHONE_TYPE_1325376307105_2592x1944.bmp,4.125,0.888888889,0.166666667,0.1875,0.354166667,155.1444444,35,-1
#lulongfei_L_&INN_@42_PHONE_TYPE_1325391060579_2592x1944.bmp,1.588235294,0.811507937,0.273148148,0.088235294,0.361383442,154.74,79,1
#lulongfei_L_&INN_@42_PHONE_TYPE_1325391063618_2592x1944.bmp,1.5,0.772556391,0.271604938,0.055555556,0.327160494,154.5588235,63,1
#lulongfei_L_&INN_@42_PHONE_TYPE_1325391056431_2592x1944.bmp,1.588235294,0.80952381,0.181481481,0,0.181481481,154.4,66,1
#lulongfei_L_&INN_@42_PHONE_TYPE_1325391069945_2592x1944.bmp,1.75,0.811359026,0.173076923,0.03125,0.204326923,154.2929293,98,1
#lulongfei_L_&INN_@42_PHONE_TYPE_1325391056906_2592x1944.bmp,1.588235294,0.805555556,0.209876543,0.058823529,0.268700073,153.96,81,1
#lulongfei_L_&INN_@42_PHONE_TYPE_1325391057570_2592x1944.bmp,1.555555556,0.735027223,0.017857143,0.055555556,0.073412698,153.5,72,1
1000_#test_20170512_145752329.jpg,6.833333333,0.496598639,0.353658537,0.5,0.853658537,153.4214876,46,-1
#lulongfei_L_&INN_@42_PHONE_TYPE_1325391059827_2592x1944.bmp,1.647058824,0.766283525,0.234693878,0.088235294,0.322929172,153.4019608,62,1
#lulongfei_L_&INN_@42_PHONE_TYPE_1325391059632_2592x1944.bmp,1.5,0.765037594,0.425925926,0.055555556,0.481481481,153.4019608,23,1
#lulongfei_L_&INN_@40_PHONE_TYPE_1325391003171_2592x1944.bmp,1.555555556,0.722323049,0.035714286,0.055555556,0.091269841,153.3627451,17,1
#lulongfei_L_&INN_@42_PHONE_TYPE_1325391060394_2592x1944.bmp,1.588235294,0.799603175,0.230639731,0.088235294,0.318875025,153.34,97,1
748_#test_20170512_145736826.jpg,6.166666667,0.672932331,0.081081081,0.583333333,0.664414414,153.2446809,59,-1
#lulongfei_L_&INN_@42_PHONE_TYPE_1325391058563_2592x1944.bmp,1.5,0.761278195,0.152777778,0.055555556,0.208333333,152.8529412,61,1
#lulongfei_L_&INN_@42_PHONE_TYPE_1325391058689_2592x1944.bmp,1.5,0.761278195,0.171296296,0.055555556,0.226851852,152.8333333,72,1
#lulongfei_L_&INN_@42_PHONE_TYPE_1325391056651_2592x1944.bmp,1.588235294,0.801587302,0.12962963,0.029411765,0.159041394,152.6138614,87,1
#lulongfei_L_&INN_@42_PHONE_TYPE_1325391057376_2592x1944.bmp,1.588235294,0.791666667,0.189814815,0.088235294,0.278050109,152.54,83,1
#lulongfei_L_&INN_@42_PHONE_TYPE_1325391069477_2592x1944.bmp,1.588235294,0.795634921,0.189300412,0.058823529,0.248123941,152.5,114,1
#lulongfei_L_&INN_@42_PHONE_TYPE_1325391061677_2592x1944.bmp,1.588235294,0.805555556,0.203703704,0.029411765,0.233115468,152.5,65,1
#zhaiboyang_L_&INN_@40_PHONE_TYPE_1325400615765_2592x1944.bmp,1.611111111,0.698245614,0.327586207,0.055555556,0.383141762,152.3727273,48,1
#lulongfei_L_&INN_@42_PHONE_TYPE_1325391069290_2592x1944.bmp,1.588235294,0.797619048,0.152777778,0.058823529,0.211601307,152.1386139,108,1
916_#test_20170512_145746874.jpg,5.666666667,0.869387755,0.292986425,0.416666667,0.709653092,152.1086957,51,-1
#lulongfei_L_&INN_@42_PHONE_TYPE_1325391070138_2592x1944.bmp,1.588235294,0.791666667,0.193602694,0.029411765,0.223014458,152.04,109,1
#zhaiboyang_L_&INN_@40_PHONE_TYPE_1325400615897_2592x1944.bmp,1.555555556,0.716878403,0.428571429,0.027777778,0.456349206,151.8846154,48,1
#lulongfei_L_&INN_@42_PHONE_TYPE_1325391058958_2592x1944.bmp,1.588235294,0.793650794,0.198005698,0.088235294,0.286240992,151.86,62,1
#lulongfei_L_&INN_@42_PHONE_TYPE_1325391069734_2592x1944.bmp,1.5,0.757518797,0.201058201,0.055555556,0.256613757,151.3269231,94,1
#zhaiboyang_L_&INN_@40_PHONE_TYPE_1325400612183_2592x1944.bmp,1.588235294,0.78968254,0.135802469,0.029411765,0.165214234,151.32,58,1
#Test_L_&INN_@30_PHONE_TYPE_1325376308379_2592x1944.bmp,5.285714286,0.523026316,0.594594595,0.642857143,1.237451737,151.2083333,25,-1
